attribute_code	value_code	label_ru	description_ru	is_head	priority	aliases_seeded
power_delivery_profile	USB_PD_100W	Usb Pd 100W	Head value for power_delivery_profile: USB_PD_100W	true	232	true
power_delivery_profile	USB_PD_140W	Usb Pd 140W	Head value for power_delivery_profile: USB_PD_140W	true	233	true
power_delivery_profile	USB_PD_240W	Usb Pd 240W	Head value for power_delivery_profile: USB_PD_240W	true	234	true
power_delivery_profile	QI_5W	Qi 5W	Head value for power_delivery_profile: QI_5W	true	235	true
power_delivery_profile	QI_7_5W	Qi 7 5W	Head value for power_delivery_profile: QI_7_5W	true	236	true
power_delivery_profile	QI_10W	Qi 10W	Head value for power_delivery_profile: QI_10W	true	237	true
power_delivery_profile	QI_15W	Qi 15W	Head value for power_delivery_profile: QI_15W	true	238	true
power_delivery_profile	QI2_15W	Qi2 15W	Head value for power_delivery_profile: QI2_15W	true	239	true
power_delivery_profile	QC_18W	Qc 18W	Head value for power_delivery_profile: QC_18W	true	240	true
power_delivery_profile	PPS_25W	Pps 25W	Head value for power_delivery_profile: PPS_25W	true	241	true
power_delivery_profile	PPS_45W	Pps 45W	Head value for power_delivery_profile: PPS_45W	true	242	true
region_variant_compatibility	GLOBAL	Global	Head value for region_variant_compatibility: GLOBAL	true	243	true
region_variant_compatibility	EU	Eu	Head value for region_variant_compatibility: EU	true	244	true
region_variant_compatibility	US	Us	Head value for region_variant_compatibility: US	true	245	true
region_variant_compatibility	UK	Uk	Head value for region_variant_compatibility: UK	true	246	true
region_variant_compatibility	JP	Jp	Head value for region_variant_compatibility: JP	true	247	true
region_variant_compatibility	CN	Cn	Head value for region_variant_compatibility: CN	true	248	true
region_variant_compatibility	KR	Kr	Head value for region_variant_compatibility: KR	true	249	true
region_variant_compatibility	IN	In	Head value for region_variant_compatibility: IN	true	250	true
region_variant_compatibility	RU_EAEU	Ru Eaeu	Head value for region_variant_compatibility: RU_EAEU	true	251	true
region_variant_compatibility	REGION_LOCKED	Region Locked	Head value for region_variant_compatibility: REGION_LOCKED	true	252	true
region_variant_compatibility	UNKNOWN	Unknown	Head value for region_variant_compatibility: UNKNOWN	true	253	true
compatible_os	IOS	Ios	Head value for compatible_os: IOS	true	254	true
compatible_os	IPADOS	Ipados	Head value for compatible_os: IPADOS	true	255	true
compatible_os	ANDROID	Android	Head value for compatible_os: ANDROID	true	256	true
compatible_os	WINDOWS	Windows	Head value for compatible_os: WINDOWS	true	257	true
compatible_os	MACOS	Macos	Head value for compatible_os: MACOS	true	258	true
compatible_os	LINUX	Linux	Head value for compatible_os: LINUX	true	259	true
compatible_os	CHROMEOS	Chromeos	Head value for compatible_os: CHROMEOS	true	260	true
compatible_os	WATCHOS	Watchos	Head value for compatible_os: WATCHOS	true	261	true
compatible_os	WEAR_OS	Wear Os	Head value for compatible_os: WEAR_OS	true	262	true
compatible_os	TVOS	Tvos	Head value for compatible_os: TVOS	true	263	true
compatible_os	ANDROID_TV	Android Tv	Head value for compatible_os: ANDROID_TV	true	264	true
compatible_os	FIRE_OS	Fire Os	Head value for compatible_os: FIRE_OS	true	265	true
compatible_os	PLAYSTATION_OS	Playstation Os	Head value for compatible_os: PLAYSTATION_OS	true	266	true
compatible_os	XBOX_OS	Xbox Os	Head value for compatible_os: XBOX_OS	true	267	true
ecosystem	APPLE_MAGSAFE	Apple Magsafe	Head value for ecosystem: APPLE_MAGSAFE	true	268	true
ecosystem	APPLE_FIND_MY	Apple Find My	Head value for ecosystem: APPLE_FIND_MY	true	269	true
ecosystem	APPLE_HOMEKIT	Apple Homekit	Head value for ecosystem: APPLE_HOMEKIT	true	270	true
ecosystem	GOOGLE_FAST_PAIR	Google Fast Pair	Head value for ecosystem: GOOGLE_FAST_PAIR	true	271	true
ecosystem	GOOGLE_HOME	Google Home	Head value for ecosystem: GOOGLE_HOME	true	272	true
ecosystem	SAMSUNG_SMARTTHINGS	Samsung Smartthings	Head value for ecosystem: SAMSUNG_SMARTTHINGS	true	273	true
